year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1997,Denmark,6,143,478.81,782.27,1084.5,5807.18,1079.84,Europe
1997,Finland,3,108,1000.66,947.01,6871.3,19400.11,3393.87,Europe
1997,France,26,796,10376.89,15685.18,13893.92,293265.13,42868.18,Europe
1997,Germany,25,2611,17913.36,39413.94,18244.38,434734.2,57750.31,Europe
1997,"Hong Kong, SAR China",3,7,0.03,53.68,230.51,671.46,134.18,Asia Pacific
1997,Iceland,1,1,0,0,NaN,0,0,Europe
1997,Ireland,9,491,1274.51,1387.69,3300.61,32536.28,4491.55,Europe
1997,Israel,11,33,231.47,129.41,297.82,3073.57,455.88,Other
1997,Italy,5,55,468.32,8002.48,25214.74,72862.14,18731.32,Europe
1997,Japan,219,18324,37747.08,63662.85,8650.49,1672176.41,164847,Asia Pacific
1997,Luxembourg,1,5,0,36.31,610.05,736.88,99.76,Europe
